r[m]	z[m]	psi[T]	Bz[T]	Br[T]
0.12974	-0.85	0	-0.007335687879390209	0
0.12974	-0.75	0	-0.000404849609575075	0
0.12974	-0.65	0	0.0008384967153606537	0
0.12974	-0.55	0	0.002660207468815545	0
0.12974	-0.45	0	0.0048585335900889585	0
0.12974	-0.35	0	0.008297382359815135	0
0.12974	-0.25	0	0.014031664734359682	0
0.12974	-0.15	0	0.025035015915724726	0
0.12974	-0.05	0	0.02782012838278362	0
0.12995	0.05	0	0.027198428382783947	0
0.12995	0.15	0	0.023855160915725707	0
0.12995	0.25	0	0.015970939734361325	0
0.12995	0.35	0	0.009112227359817433	0
0.12995	0.45	0	0.0035858345900918707	0
0.12995	0.55	0	0.0016485454688189346	0
0.12995	0.65	0	-0.00035584828463573574	0
0.12995	0.75	0	-0.003953465409571659	0
0.12995	0.85	0	-0.018977983879387525	0
0.38615	0.99	0	0.0022234598753206186	0
0.53615	0.99	0	-0.021647762817952897	0
0.58326	0.85	0	-0.07733575355459704	0
0.58326	0.75	0	-0.11100096041876284	0
0.58326	0.65	0	-0.03552668582519529	0
0.58326	0.55	0	-0.07694611572338829	0
0.58326	0.45	0	-0.10026027326931646	0
0.58326	0.35	0	-0.018625112984119625	0
0.58326	0.25	0	-0.004235975876325257	0
0.58326	0.15	0	-0.017724331462186205	0
0.58326	0.05	0	-0.01710052001625862	0
0.58879	-0.15	0	-0.017362561600148343	0
0.58879	-0.25	0	-0.004720146081326551	0
0.58879	-0.35	0	-0.02351229031571834	0
0.58879	-0.45	0	-0.11496579948707429	0
0.58879	-0.55	0	-0.06599666023973694	0
0.58879	-0.65	0	-0.035888046597117446	0
0.58879	-0.75	0	-0.11886702503500601	0
0.58879	-0.85	0	-0.020242142925450145	0
0.53615	-0.99	0	-0.03656026381795793	0
0.38615	-0.99	0	0.008077925875318713	0
